ip16	revisions	first	last	as_candidates
109.70	1	2026-06-16	2026-06-16	AS196847 TERMINAL-AS - JSC SHEREMETYEVO INTERNATIONAL AIRPORT, RU ; AS45037 Hispaweb-Network - Propelin Consulting S.L.U., ES ; AS48284 TELENET-AS - SWU TeleNet GmbH, DE ; AS48635 CLDIN-NL - Your Hosting B.V., NL ; AS9009 M247 - M247 Europe SRL, RO
162.159	1	2026-06-17	2026-06-17	AS13335 CLOUDFLARENET - Cloudflare, Inc., US
162.243	1	2026-06-21	2026-06-21	AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US
167.71	1	2026-06-19	2026-06-19	AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US
167.172	1	2026-06-19	2026-06-19	AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US
172.69	1	2026-06-21	2026-06-21	AS13335 CLOUDFLARENET - Cloudflare, Inc., US ; AS14789 CLOUDFLARENET - Cloudflare, Inc., US
172.70	1	2026-06-21	2026-06-21	AS132892 CLOUDFLARE - Cloudflare, Inc., US ; AS13335 CLOUDFLARENET - Cloudflare, Inc., US
192.252	1	2026-06-19	2026-06-19	AS13490 BUCKEYECABLEVISION - Buckeye Cablevision, Inc., US ; AS22652 FIBRENOIRE-INTERNET - Videotron Ltee, CA ; AS25813 EXELA-25813 - HOV Services, Inc., US
193.221	1	2026-06-19	2026-06-19	AS208393 DEDCLOUD - Dedcloud Network Ltd, GB ; AS25160 VORBOSS - Vorboss Limited, GB
212.58	1	2026-06-19	2026-06-19	AS12380 LENSVYAZ - PJSC Rostelecom, RU ; AS2818 BBC - BBC, GB ; AS48918 GLOBALWAYS - Globalways GmbH, DE ; AS8685 DorukNet - Doruk Iletisim ve Otomasyon Sanayi ve Ticaret A.S., TR ; AS8757 NSFOCUS - NSFOCUS, Inc., US
5.253	0			AS212954 LusoAloja - LUSOALOJA SERVICOS DE ALOJAMENTO WEB, LDA, PT ; AS29802 HVC-AS - HIVELOCITY, Inc., US ; AS42263 WIITCloudEdge - WIIT AG, DE ; AS43872 OPTINET - Optinet U.K. Limited, GB
36.134	0			AS38019 CMNET-V4TIANJIN-AS-AP - tianjin Mobile Communication Company Limited, CN ; AS56041 CMNET-Zhejiang-AP - China Mobile communications corporation, CN ; AS9808 CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
36.138	0			AS132525 CMNET-HEILONGJIANG-CN - HeiLongJiang Mobile Communication Company Limited, CN ; AS9808 CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
36.140	0			AS139080 CMNET-SCIDC-CN - The Internet Data Center of Sichuan Mobile Communication Company Limited, CN ; AS24444 CMNET-V4shandong-AS-AP - Shandong Mobile Communication Company Limited, CN ; AS24547 CMNET-V4HEBEI-AS-AP - Hebei Mobile Communication Company Limited, CN ; AS56041 CMNET-Zhejiang-AP - China Mobile communications corporation, CN ; AS9808 CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
120.233	0			AS56040 CMNET-GuangDong-AP - China Mobile communications corporation, CN ; AS9808 CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
135.136	0			AS4540 ASN01-SOGE - SOGETEL INC, CA ; AS9009 M247 - M247 Europe SRL, RO ; AS931 HYONIX - Hyonix, SG
147.90	0			AS210874 box-broadband - Box Broadband Limited, GB ; AS212477 ROYALE-AS - RoyaleHosting BV, NL ; AS7029 WINDSTREAM - Windstream Communications LLC, US
