host,alias,short_url,status,location,sources,labels,first_seen,api_status,api_body
da.gd,4OzSm,https://da.gd/4OzSm,302,https://airtable.com/v0.3/view/viwb5v6acVmfP9fnd/downloadCsv?x-time-zone=UTC&x-airtable-application-id=app90oaiea9w9Ifs0&accessPolicy=%7B%22allowedActions%22%3A%5B%7B%22modelClassName%22%3A%22view%22%2C%22modelIdSelector%22%3A%22viwb5v6acVmfP9fnd%22%2C%22action%22%3A%22readSharedViewData%22%7D%2C%7B%22modelClassName%22%3A%22view%22%2C%22modelIdSelector%22%3A%22viwb5v6acVmfP9fnd%22%2C%22action%22%3A%22getMetadataForPrinting%22%7D%2C%7B%22modelClassName%22%3A%22view%22%2C%22modelIdSelector%22%3A%22viwb5v6acVmfP9fnd%22%2C%22action%22%3A%22readSignedAttachmentUrls%22%7D%2C%7B%22modelClassName%22%3A%22row%22%2C%22modelIdSelector%22%3A%22rows+%2A%5BdisplayedInView%3Dviwb5v6acVmfP9fnd%5D%22%2C%22action%22%3A%22createDocumentPreviewSession%22%7D%2C%7B%22modelClassName%22%3A%22view%22%2C%22modelIdSelector%22%3A%22viwb5v6acVmfP9fnd%22%2C%22action%22%3A%22downloadCsv%22%7D%2C%7B%22modelClassName%22%3A%22view%22%2C%22modelIdSelector%22%3A%22viwb5v6acVmfP9fnd%22%2C%22action%22%3A%22downloadICal%22%7D%2C%7B%22modelClassName%22%3A%22row%22%2C%22modelIdSelector%22%3A%22rows+%2A%5BdisplayedInView%3Dviwb5v6acVmfP9fnd%5D%22%2C%22action%22%3A%22downloadAttachment%22%7D%2C%7B%22modelClassName%22%3A%22row%22%2C%22modelIdSelector%22%3A%22rows+%2A%5BdisplayedInView%3Dviwb5v6acVmfP9fnd%5D%22%2C%22action%22%3A%22getUrlForAttachmentDownload%22%7D%5D%2C%22shareId%22%3A%22shrMLVqYbqJ5nOxel%22%2C%22applicationId%22%3A%22app90oaiea9w9Ifs0%22%2C%22generationNumber%22%3A0%2C%22expires%22%3A%222026-06-18T00%3A00%3A00.000Z%22%2C%22signature%22%3A%227ba3c65e9a401de9108a38b09c360eb994d3186da31f9e6fa7478557076a8a5f%22%7D,vanderbi.lt-target,,2026-05-26 21:59:36,200,https://airtable.com/v0.3/view/viwb5v6acVmfP9fnd/downloadCsv?x-time-zone=UTC&x-airtable-application-id=app90oaiea9w9Ifs0&accessPolicy=%7B%22allowedActions%22%3A%5B%7B%22modelClassName%22%3A%22view%22%2C%22modelIdSelector%22%3A%22viwb5v6acVmfP9fnd%22%2C%22action%22%3A%22readSharedViewData%22%7D%2C%7B
da.gd,4qPkK,https://da.gd/4qPkK,302,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json,vanderbi.lt-referrer;vanderbi.lt-target;wiki-db,AICountyResearch;AgentDataHelperX;AgentResearchHelperXYZ;AgentResearchUseful989;AgentSECCountyLinker99172;BridgeEditorAgain11;DataResearchAgent;OAIHelperSec;OpenAIResearchSec2027;RefHelper89012;ResearchAgentX;ResearchUserXYZ;ResearcherTemp;SecAgent85;[Person18],2026-06-18T16:52:32Z,200,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json 
da.gd,5GRItg,https://da.gd/5GRItg,,,jd-wiki,AgentOurTester6617,2026-06-18T18:46:43Z,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=%5B.regCF_county_2021%5B%5D%7Cselect%28.code%7Ccontains%28%22ma-%22%29%29%5D 
da.gd,5Htjsq,https://da.gd/5Htjsq,,,vanderbi.lt-referrer,,2026-05-29 15:46:24,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FJ7cAQ&jq=%7Bs%3A.status.url%2Ca%3A%28.contents%7Cfromjson%7C.regCF_county_2019%5B46%3A52%5D%7Cmap%28%5B.code%2C.usd%2F1000%5D%29%29%7D 
da.gd,5L8BSl,https://da.gd/5L8BSl,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=%7Bsrc%3A%22https%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json%22%2Cy%3A2020%2Cd%3A.regCF_county_2020%5B52%3A62%5D%7D 
da.gd,5ZLHwi,https://da.gd/5ZLHwi,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=%7Bsource%3A%22https%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json%22%2Cdata%3A.regCF_county_2020%5B52%3A62%5D%7D 
da.gd,5zSGjg,https://da.gd/5zSGjg,,,vanderbi.lt-referrer,,2026-06-18 13:52:45,200,https://jqp.vercel.app/api/v0?jq=%5B.regCF_county_2021%5B%5D%7Cselect%28.code%7Ctest%28%22ma-0%22%29%29%7C%5B.code%2C+%28.usd%2F10%7Cround%2F100%29%5D%5D&url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json 
da.gd,63pwYu,https://da.gd/63pwYu,,,vanderbi.lt-referrer,,2026-06-18 10:14:44,200,https://allorigins.hexlet.app/get?url=https://www.sec.gov/modules/custom/sec_custom_blocks/js/oasb_raising_capital_map/main.js 
da.gd,6ewJn,https://da.gd/6ewJn,,,jd-wiki,AgentOurTester6617,2026-06-18T18:46:43Z,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=.regCF_county_methodology 
da.gd,6ubSrF,https://da.gd/6ubSrF,,,vanderbi.lt-referrer,,2026-06-17 04:23:57,200,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Frmn.re%2Fagentx17817984043%2B%3Ffresh%3D1781809958.9625945 
da.gd,7TNvu,https://da.gd/7TNvu,302,https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=State%2CYear&include=Industry%20Sector%3A23%3BWorkforce%20Status%3Atrue%3BYear%3A2018&locale=en&measures=Total%20Population,wiki-db,SectorAgentFeb16OAI,2026-06-17T17:16:32Z,200,https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=State%2CYear&include=Industry%20Sector%3A23%3BWorkforce%20Status%3Atrue%3BYear%3A2018&locale=en&measures=Total%20Population 
da.gd,7t3rD4,https://da.gd/7t3rD4,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://allorigins.hexlet.app/get?url=https%3A%2F%2Fwww.sec.gov%2Fmodules%2Fcustom%2Fsec_custom_blocks%2Fjs%2Foasb_raising_capital_map%2Fmain.js 
da.gd,87yqw,https://da.gd/87yqw,,,vanderbi.lt-referrer,,2026-06-18 12:32:01,200,https://allorigins.hexlet.app/get?url=https%3A//www.sec.gov/files/county.json 
da.gd,9Em7CC,https://da.gd/9Em7CC,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://allorigins.hexlet.app/get?url=https%3A%2F%2Fmd.succ.ai%2Fhttps%3A%2F%2Fwww.investor.gov%2Fmodules%2Fcustom%2Fsec_custom_blocks%2Fjs%2Foasb_raising_capital_map%2Fmain.js 
