alias,timestamp,ip,clicks,title,url,shorturl
amass932899504,2026-06-18 14:59:00,,43,,https://www.utoronto.ca,https://uoft.me/amass932899504
maagentxyz99999,2026-06-18 10:52:00,,1751,,http://www.utoronto.ca/foobaruniq456,https://uoft.me/maagentxyz99999
mafresh91011,2026-06-18 15:03:00,,282,,https://www.utoronto.ca/abc2323,https://uoft.me/mafresh91011
masshtmliqsrqhqese,2026-06-18 13:30:00,,21,,http://www.utoronto.ca/masshtmliqsrqhqese,https://uoft.me/masshtmliqsrqhqese
zzagent740558,2026-06-18 13:01:00,,346,,http://www.utoronto.ca/foo4080368,https://uoft.me/zzagent740558
