Bulk mode; whois.cymru.com [2026-09-07 00:42:33 +0000]
8075    | 135.232.178.235  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.186.6    | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.194.177  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.202.128  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.202.138  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.225.193  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.226.122  | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.226.37   | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.232.250.37   | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.234.24.250   | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 135.234.29.190   | 135.232.0.0/14      | GB | ripencc  | 1996-04-30 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 157.55.197.144   | 157.55.0.0/16       | US | arin     | 1994-04-28 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 157.55.197.149   | 157.55.0.0/16       | US | arin     | 1994-04-28 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 157.55.197.192   | 157.55.0.0/16       | US | arin     | 1994-04-28 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 168.62.194.152   | 168.62.0.0/15       | US | arin     | 2011-06-22 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.170.252.89   | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.171.104.96   | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.173.109.98   | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.173.110.220  | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.173.111.134  | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.173.125.114  | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.173.64.145   | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.173.66.173   | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.184.102.90   | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.184.105.130  | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.184.128.122  | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.184.176.43   | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.184.178.140  | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.184.242.203  | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.185.15.52    | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.185.94.85    | 172.160.0.0/11      | GB | ripencc  | 2000-03-24 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.202.199.29   | 172.200.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.202.20.17    | 172.200.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.202.21.62    | 172.200.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.202.23.96    | 172.200.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.202.45.212   | 172.200.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.208.154.147  | 172.208.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.208.154.161  | 172.208.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.212.168.200  | 172.208.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.212.185.234  | 172.208.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.212.188.62   | 172.208.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.212.189.255  | 172.208.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.212.190.73   | 172.208.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.212.193.214  | 172.208.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.212.196.138  | 172.208.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 172.214.154.254  | 172.208.0.0/13      | GB | ripencc  | 2002-02-13 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.10.45.191     | 20.0.0.0/11         | US | arin     | 2017-10-18 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 20.10.8.105      | 20.0.0.0/11         | US | arin     | 2017-10-18 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
