shorturl,keyword,url,title,timestamp,ip,clicks
http://rmn.re/wpcagent2018md,wpcagent2018md,"https://markdown.new/convert?url=https://api.worldpoverty.io/graphql?query=query%20%7BworldPovertyRegion(year:2018,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22IND%22,%22MEX%22,%22NGA%22%5D)%7BcountryValues%7Bcountry%7Bname%20id%7D%20value%7BruralValue%7Bheadcount%7D%7D%7D%7D%7D&cache_version=2e1fed556d97c6338aee0463782fa057bfd4f3ee","https://markdown.new/convert?url=https://api.worldpoverty.io/graphql?query=query%20%7BworldPovertyRegion(year:2018,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22IND%22,%22MEX%22,%22NGA%22%5D)%7BcountryValues%7Bcountry%7Bname%20id%7D%20value%7BruralValue%7Bheadcount%7D%7D%7D%7D%7D&cache_version=2e1fed556d97c6338aee0463782fa057bfd4f3ee",2026-06-21 20:13:25,128.203.184.195,63
http://rmn.re/wpcagent2020md,wpcagent2020md,"https://markdown.new/convert?url=https://api.worldpoverty.io/graphql?query=query%20%7BworldPovertyRegion(year:2020,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22IND%22,%22MEX%22,%22NGA%22%5D)%7BcountryValues%7Bcountry%7Bname%20id%7D%20value%7BruralValue%7Bheadcount%7D%7D%7D%7D%7D&cache_version=2e1fed556d97c6338aee0463782fa057bfd4f3ee","https://markdown.new/convert?url=https://api.worldpoverty.io/graphql?query=query%20%7BworldPovertyRegion(year:2020,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22IND%22,%22MEX%22,%22NGA%22%5D)%7BcountryValues%7Bcountry%7Bname%20id%7D%20value%7BruralValue%7Bheadcount%7D%7D%7D%7D%7D&cache_version=2e1fed556d97c6338aee0463782fa057bfd4f3ee",2026-06-21 20:13:31,20.98.98.11,60
http://rmn.re/agpovertyruralclock95080,agpovertyruralclock95080,"https://api.worldpoverty.io/graphql?query=query+q+%7B+y2018:+worldPovertyRegion(year:2018,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22NGA%22,%22IND%22,%22MEX%22%5D)+%7B+countryValues+%7B+country+%7B+name+id+%7D+value+%7B+ruralValue+%7B+headcount+%7D+%7D+%7D+%7D+y2020:+worldPovertyRegion(year:2020,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22NGA%22,%22IND%22,%22MEX%22%5D)+%7B+countryValues+%7B+country+%7B+name+id+%7D+value+%7B+ruralValue+%7B+headcount+%7D+%7D+%7D+%7D+%7D&cache_version=2e1fed556d97c6338aee0463782fa057bfd4f3ee&x=a","https://api.worldpoverty.io/graphql?query=query+q+%7B+y2018:+worldPovertyRegion(year:2018,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22NGA%22,%22IND%22,%22MEX%22%5D)+%7B+countryValues+%7B+country+%7B+name+id+%7D+value+%7B+ruralValue+%7B+headcount+%7D+%7D+%7D+%7D+y2020:+worldPovertyRegion(year:2020,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22NGA%22,%22IND%22,%22MEX%22%5D)+%7B+countryValues+%7B+country+%7B+name+id+%7D+value+%7B+ruralValue+%7B+headcount+%7D+%7D+%7D+%7D+%7D&cache_version=2e1fed556d97c6338aee0463782fa057bfd4f3ee&x=a",2026-06-21 20:15:44,20.10.8.105,53
http://rmn.re/wpcfinal20185574,wpcfinal20185574,"https://api.worldpoverty.io/graphql?query=%7BworldPovertyRegion(year:2018,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22NGA%22,%22IND%22,%22MEX%22%5D)%7BcountryValues%7Bcountry%7Bid+name%7Dvalue%7BruralValue%7Bheadcount%7D%7D%7D%7D%7D","https://api.worldpoverty.io/graphql?query=%7BworldPovertyRegion(year:2018,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22NGA%22,%22IND%22,%22MEX%22%5D)%7BcountryValues%7Bcountry%7Bid+name%7Dvalue%7BruralValue%7Bheadcount%7D%7D%7D%7D%7D",2026-06-21 20:17:17,20.45.43.187,58
http://rmn.re/wpcfinal20206539,wpcfinal20206539,"https://api.worldpoverty.io/graphql?query=%7BworldPovertyRegion(year:2020,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22NGA%22,%22IND%22,%22MEX%22%5D)%7BcountryValues%7Bcountry%7Bid+name%7Dvalue%7BruralValue%7Bheadcount%7D%7D%7D%7D%7D","https://api.worldpoverty.io/graphql?query=%7BworldPovertyRegion(year:2020,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22NGA%22,%22IND%22,%22MEX%22%5D)%7BcountryValues%7Bcountry%7Bid+name%7Dvalue%7BruralValue%7Bheadcount%7D%7D%7D%7D%7D",2026-06-21 20:17:20,172.173.125.114,60
http://rmn.re/thum97791,thum97791,https://example.org/thum97791,Example Domain,2026-06-21 20:21:12,52.87.44.246,42
http://rmn.re/wpccite2018x,wpccite2018x,"https://api.worldpoverty.io/graphql?operationName=T&query=query%20T%7BworldPovertyRegion(year:2018,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22NGA%22,%22IND%22,%22MEX%22%5D)%7BcountryValues%7Bcountry%7Bname%7Dvalue%7BruralValue%7Bheadcount%7D%7D%7D%7D%7D","https://api.worldpoverty.io/graphql?operationName=T&query=query%20T%7BworldPovertyRegion(year:2018,dailySpending:2.15,countryIds:%5B%22AFG%22,%22GHA%22,%22NGA%22,%22IND%22,%22MEX%22%5D)%7BcountryValues%7Bcountry%7Bname%7Dvalue%7BruralValue%7Bheadcount%7D%7D%7D%7D%7D",2026-06-21 20:22:22,52.165.248.233,60
http://rmn.re/l3,l3,https://example.com/bp-286901d305bc,Example Domain,2026-07-22 03:28:51,34.92.118.48,11
http://rmn.re/l4,l4,https://example.com/bp-6ec7f9be9d53,https://example.com/bp-6ec7f9be9d53,2026-07-22 04:09:29,34.92.118.48,12
http://rmn.re/l5,l5,https://example.com/bp-8144765f7b26,Example Domain,2026-07-22 04:28:23,34.92.118.48,12
