alias,timestamp,ip,clicks,title,url,shorturl,wayback_capture,source_capture_file
8y,2026-05-20 23:16:59,4.154.21.231,3,1779319018.0841866,1779319018.0841866,https://yourls.website/8y,,yourlswebsite_admin_p1_0521.html
8z,2026-05-20 23:19:26,20.165.130.111,2,1779319164.7774582,1779319164.7774582,https://yourls.website/8z,,yourlswebsite_admin_p1_0521.html
agentsmail1779319628,2026-05-20 23:27:11,20.242.99.7,3,https://mail.smilefm.co.za/wp-json/wp/v2/posts/139631?x=1779319628.1535776,https://mail.smilefm.co.za/wp-json/wp/v2/posts/139631?x=1779319628.1535776,https://yourls.website/agentsmail1779319628,,yourlswebsite_admin_p1_0521.html
alltest17793197230,2026-05-20 23:28:45,20.112.79.175,3,Example Domain,https://allorigins.hexlet.app/raw?url=http://example.com#1779319723.482216,https://yourls.website/alltest17793197230,,yourlswebsite_admin_p1_0521.html
alltest17793197251,2026-05-20 23:28:46,20.12.179.38,4,https://allorigins.hexlet.app/raw#1779319725.1690066,https://allorigins.hexlet.app/raw#1779319725.1690066,https://yourls.website/alltest17793197251,,yourlswebsite_admin_p1_0521.html
alltest17793197262,2026-05-20 23:28:49,20.245.79.50,3,https://allorigins.hexlet.app/get?url=https://smilefm.co.za/wp-json/wp/v2/posts/139932#1779319726.5888374,https://allorigins.hexlet.app/get?url=https://smilefm.co.za/wp-json/wp/v2/posts/139932#1779319726.5888374,https://yourls.website/alltest17793197262,,yourlswebsite_admin_p1_0521.html
alltest17793197293,2026-05-20 23:28:51,172.170.252.47,4,https://allorigins.hexlet.app/raw?url=https://smilefm.co.za/wp-json/wp/v2/posts/139932#1779319729.2031271,https://allorigins.hexlet.app/raw?url=https://smilefm.co.za/wp-json/wp/v2/posts/139932#1779319729.2031271,https://yourls.website/alltest17793197293,,yourlswebsite_admin_p1_0521.html
alltest17793197314,2026-05-20 23:28:54,20.245.182.86,3,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fsmilefm.co.za%2Fwp-json%2Fwp%2Fv2%2Fposts%2F139932#1779319731.4788024,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fsmilefm.co.za%2Fwp-json%2Fwp%2Fv2%2Fposts%2F139932#1779319731.4788024,https://yourls.website/alltest17793197314,,yourlswebsite_admin_p1_0521.html
90,2026-05-21 03:33:53,20.94.76.251,2,Example Domain,https://example.org/0.8653630356114465,https://yourls.website/90,,yourlswebsite_admin_p1_0521.html
91,2026-05-21 03:33:55,135.232.202.130,2,Example Domain,https://example.org/0.834728315484727,https://yourls.website/91,,yourlswebsite_admin_p1_0521.html
weldata4235294,2026-05-21 03:34:17,20.230.144.45,2,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fpublic.tableau.com%2Fviews%2FCautionsandcourtsentencesdashboard_17695088557860%2FOutcomestierproportiontrend.csv%3F%3AshowVizHome%3Dno%252526YJS%3DCardiff&aa=0.5195594535234282,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fpublic.tableau.com%2Fviews%2FCautionsandcourtsentencesdashboard_17695088557860%2FOutcomestierproportiontrend.csv%3F%3AshowVizHome%3Dno%252526YJS%3DCardiff&aa=0.5195594535234282,https://yourls.website/weldata4235294,,yourlswebsite_admin_p1_0521.html
