alias,timestamp,ip,clicks,title,url,shorturl
dJ,2026-05-25 01:12:37,,129,,https://example.org/dummy1779685956.255648,https://lnkr.click/dJ
dI,2026-05-25 01:01:22,,272,,"https://xxz.tld/""><a href=""https://md.succ.ai/?url...",https://lnkr.click/dI
dH,2026-05-25 00:55:21,,101,,https://md.succ.ai/?url=https%3A%2F%2Fwabac-cors-p...,https://lnkr.click/dH
dG,2026-05-25 00:55:20,,108,,https://md.succ.ai/?url=https%3A%2F%2Fwabac-cors-p...,https://lnkr.click/dG
dF,2026-05-25 00:52:10,,127,,https://example.org/testclonelnkr.click,https://lnkr.click/dF
dE,2026-05-25 00:46:07,,205,,https://md.succ.ai/?url=https%3A%2F%2Fexample.com&...,https://lnkr.click/dE
