capture_ts,captured_url,http_status,db_page,db_wiki,db_first_write,db_last_write,deleted_live,n_revisions
20260517062133,https://wikiservice.at/dict/wiki.cgi?SandBox,200,SandBox,fractal,2026-05-26T11:55:49Z,2026-06-22T08:51:08Z,0,3
20260517062133,https://wikiservice.at/dict/wiki.cgi?SandBox,200,SandBox,probier,2026-06-09T09:24:03Z,2026-06-22T08:37:25Z,0,21
20260517062159,https://wikiservice.at/dict/wiki.cgi?action=editprefs&oldid=RecentChanges&id=RecentChanges,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260517062159,https://wikiservice.at/dict/wiki.cgi?action=editprefs&oldid=RecentChanges&id=RecentChanges,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260517062159,https://wikiservice.at/dict/wiki.cgi?action=editprefs&oldid=RecentChanges&id=RecentChanges,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260517062252,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RecentChanges&from=,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260517062252,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RecentChanges&from=,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260517062252,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RecentChanges&from=,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260517062953,https://wikiservice.at/demo/wiki.cgi?TestSeite,200,TestSeite,dse,2026-05-26T14:31:27Z,2026-06-22T08:42:22Z,0,238
20260517063227,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/SwissLife/RecentChanges&lang=2,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260517063227,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/SwissLife/RecentChanges&lang=2,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260517063227,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/SwissLife/RecentChanges&lang=2,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260517063314,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=GlossaireTechnique/RecentChanges&lang=2,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260517063314,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=GlossaireTechnique/RecentChanges&lang=2,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260517063314,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=GlossaireTechnique/RecentChanges&lang=2,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260517063433,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RecentChanges&days=7,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260517063433,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RecentChanges&days=7,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260517063433,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RecentChanges&days=7,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260517114536,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/SiliconValois/RecentChanges&days=30,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260517114536,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/SiliconValois/RecentChanges&days=30,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260517114536,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/SiliconValois/RecentChanges&days=30,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260517115151,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/AyLuMax/Context&section=9,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260517115546,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/NouvellesD%E9marchesCoop%E9ratives/RecentChanges&days=7,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260517115546,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/NouvellesD%E9marchesCoop%E9ratives/RecentChanges&days=7,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260517115546,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/NouvellesD%E9marchesCoop%E9ratives/RecentChanges&days=7,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260517115813,https://wikiservice.at/support/wiki.cgi?Redaktion/Context,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260517121706,https://wikiservice.at/prowiki/wiki.cgi?action=edit&id=Admin/TemplateTest/Context&section=4,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260517122357,https://wikiservice.at/support/wiki.cgi?action=edit&id=TestSeite&section=11,200,TestSeite,dse,2026-05-26T14:31:27Z,2026-06-22T08:42:22Z,0,238
20260517122542,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RetoScope/RecentChanges&lang=2,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260517122542,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RetoScope/RecentChanges&lang=2,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260517122542,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RetoScope/RecentChanges&lang=2,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260517123949,https://wikiservice.at/fractal/wiki.cgi?FR/PinkoMarketing/SafariPhoto/RecentChanges,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260517123949,https://wikiservice.at/fractal/wiki.cgi?FR/PinkoMarketing/SafariPhoto/RecentChanges,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260517123949,https://wikiservice.at/fractal/wiki.cgi?FR/PinkoMarketing/SafariPhoto/RecentChanges,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518055856,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=4,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518060233,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=8,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518061818,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=1,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518062117,https://www.wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/RecentChanges&lang=2,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260518062117,https://www.wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/RecentChanges&lang=2,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260518062117,https://www.wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/RecentChanges&lang=2,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518062206,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=5,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518062719,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=9,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518064541,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=10,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518064609,https://www.wikiservice.at/prowiki/wiki.cgi?action=editprefs&oldid=Context&id=Context,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518064637,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=11,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518064706,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=12,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518064821,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=2,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518065253,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=6,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
