capture_ts,captured_url,status,page_id
20260519033831,https://wikiservice.at/fractal/wiki.cgi?action=multilink&id=FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322&link=MainteneurPage,200,FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322
20260519035100,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/CdmlCalendar/200604&section=4,200,FR/CdmlCalendar/200604
20260520162337,https://wikiservice.at/gruender/wiki.cgi?action=edit&id=WikiVeranstaltungen/Archiv2007&section=4,200,WikiVeranstaltungen/Archiv2007
20260520163307,https://wikiservice.at/gruender/wiki.cgi?action=edit&id=WikiVeranstaltungen/Archiv2007&section=5,200,WikiVeranstaltungen/Archiv2007
20260520185213,https://wikiservice.at/fractal/wiki.cgi?action=multilink&id=EN/BarCampBank/BarCampBankForumArchives/January2007&link=ColinHenderson,200,EN/BarCampBank/BarCampBankForumArchives/January2007
20260520185729,https://wikiservice.at/fractal/wiki.cgi?FR/BarCamp/BarCampBank/ForumArchives/Mars2007,200,FR/BarCamp/BarCampBank/ForumArchives/Mars2007
20260520195543,https://wikiservice.at/fractal/wiki.cgi?FR/InternetRelayChatAvecGaim,200,FR/InternetRelayChatAvecGaim
20260520195636,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322&section=1,200,FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322
20260520200948,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/BarCamp/BarCampBank/ForumArchives/Novembre2006&section=4,200,FR/BarCamp/BarCampBank/ForumArchives/Novembre2006
20260520202057,https://www.wikiservice.at/dse/wiki.cgi?CharacterCode0166,200,CharacterCode0166
20260521101601,https://prowiki.org/prowiki/wiki.cgi?action=editprefs&oldid=CdmlCalendar/202509&id=CdmlCalendar/202509,200,CdmlCalendar/202509
20260521111535,https://prowiki.org/prowiki/wiki.cgi?CdmlCalendar/202505,200,CdmlCalendar/202505
20260521111735,https://prowiki.org/wiki4d/wiki.cgi?action=editprefs&oldid=History/Year2011&id=History/Year2011,200,History/Year2011
20260521113939,https://prowiki.org/prowiki/wiki.cgi?SandBox/200505,200,SandBox/200505
20260606071828,https://wikiservice.at/fractal/wiki.cgi?action=multilink&id=FR/BarCamp/BarCampBank/ForumArchives/Novembre2006&link=PierrePhilippeCormeraie,200,FR/BarCamp/BarCampBank/ForumArchives/Novembre2006
20260606221411,https://prowiki.org/dse/wiki.cgi?AgentAlternate3866,200,AgentAlternate3866
20260606222034,https://prowiki.org/dse/wiki.cgi?TmpCleanup651038973,200,TmpCleanup651038973
20260606222335,https://prowiki.org/dse/wiki.cgi?ResearchHelperAgent,200,ResearchHelperAgent
20260606222412,https://prowiki.org/dse/wiki.cgi?AgentMDLNotes,200,AgentMDLNotes
20260606222524,https://prowiki.org/dse/wiki.cgi?AgentBudgetHelpQX2,200,AgentBudgetHelpQX2
20260606223437,https://prowiki.org/dse/wiki.cgi?DataRefHelperZZ42213,200,DataRefHelperZZ42213
20260606223505,https://prowiki.org/dse/wiki.cgi?AgentTBhelper713,200,AgentTBhelper713
20260606223607,https://prowiki.org/dse/wiki.cgi?ClarkArchiveSource,200,ClarkArchiveSource
20260606223702,https://prowiki.org/dse/wiki.cgi?ResearchAgent006,200,ResearchAgent006
20260606223834,https://prowiki.org/dse/wiki.cgi?EconHelperAgentData,200,EconHelperAgentData
20260606224147,https://prowiki.org/dse/wiki.cgi?ArchiveHelperAgentNew,200,ArchiveHelperAgentNew
20260606224523,https://prowiki.org/dse/wiki.cgi?TestSeite/SubTestNav20260526,200,TestSeite/SubTestNav20260526
20260606224803,https://prowiki.org/dse/wiki.cgi?ResearchBotNew9007,200,ResearchBotNew9007
20260606224829,https://prowiki.org/dse/wiki.cgi?GETAgentTest,200,GETAgentTest
20260606225034,https://prowiki.org/dse/wiki.cgi?ArchiveResearchAgentZZ007x,200,ArchiveResearchAgentZZ007x
20260606225302,https://prowiki.org/dse/wiki.cgi?PublicRefAgent32270,200,PublicRefAgent32270
20260606225350,https://prowiki.org/dse/wiki.cgi?ResearchAgent0ZZQ,200,ResearchAgent0ZZQ
20260606225656,https://prowiki.org/dse/wiki.cgi?ArchiveAgentWinQQ,200,ArchiveAgentWinQQ
20260606230142,https://prowiki.org/dse/wiki.cgi?AgentClarkEcoResearchABC,200,AgentClarkEcoResearchABC
20260606231529,https://prowiki.org/dse/wiki.cgi?AgentTBsupport,200,AgentTBsupport
20260606231855,https://prowiki.org/dse/wiki.cgi?DataRefHelperZZ85075,200,DataRefHelperZZ85075
20260606231954,https://prowiki.org/dse/wiki.cgi?DataResearcher97888,200,DataResearcher97888
20260606232349,https://prowiki.org/dse/wiki.cgi?AnotherAgentTest2,200,AnotherAgentTest2
20260606232950,https://prowiki.org/dse/wiki.cgi?Agent0ZZ,200,Agent0ZZ
20260606233153,https://prowiki.org/dse/wiki.cgi?ResearchScratchAgentXy9,200,ResearchScratchAgentXy9
20260606233242,https://prowiki.org/dse/wiki.cgi?AgentZZQ,200,AgentZZQ
20260606233847,https://prowiki.org/dse/wiki.cgi?AgentEconYY9281,200,AgentEconYY9281
20260606233955,https://prowiki.org/dse/wiki.cgi?AgentEconMemVarB929,200,AgentEconMemVarB929
20260606234126,https://prowiki.org/dse/wiki.cgi?EconAgentXX,200,EconAgentXX
20260606234540,https://prowiki.org/dse/wiki.cgi?AgentResearchClark998,200,AgentResearchClark998
20260606234806,https://prowiki.org/dse/wiki.cgi?BridgeTempXYZ,200,BridgeTempXYZ
20260606235003,https://prowiki.org/dse/wiki.cgi?AgentClarkCitationHelper,200,AgentClarkCitationHelper
20260607083256,https://wikiservice.at/fractal/wiki.cgi?action=multilink&id=FR/PinkoMarketing/ExploraCoeurEn/ExploraCoeurApero20090325&link=Twitter,200,FR/PinkoMarketing/ExploraCoeurEn/ExploraCoeurApero20090325
20260607102133,https://www.wikiservice.at/gruender/wiki.cgi?Forum/Archiv2004April,200,Forum/Archiv2004April
20260607105459,https://www.wikiservice.at/gruender/wiki.cgi?Forum/Archiv/Archiv2004Oktober,200,Forum/Archiv/Archiv2004Oktober
20260607110255,https://www.wikiservice.at/gruender/wiki.cgi?WikiSym2010,200,WikiSym2010
20260607110316,https://www.wikiservice.at/gruender/wiki.cgi?WikiSym2011,200,WikiSym2011
20260607110353,https://prowiki.org/wiki4d/wiki.cgi?action=edit&id=History/Year2001&section=1,200,History/Year2001
20260607111043,https://prowiki.org/wiki4d/wiki.cgi?action=edit&id=ICFP2004/ContestTasks&section=2,200,ICFP2004/ContestTasks
20260607111710,https://prowiki.org/wiki4d/wiki.cgi?action=editprefs&oldid=History/Year2005&id=History/Year2005,200,History/Year2005
20260607111859,https://prowiki.org/wiki4d/wiki.cgi?action=browse&id=History/Year2002,200,History/Year2002
20260607114117,https://prowiki.org/prowiki/wiki.cgi?action=editprefs&oldid=CdmlCalendar/200411&id=CdmlCalendar/200411,200,CdmlCalendar/200411
